model,term,coefficient,standard_error_model_based,ci_low_model_based,ci_high_model_based,p_value_model_based,bootstrap_ci_low,bootstrap_ci_high,odds_ratio,observations,sites,events
Broad exact-year risk frame,age_10-19 yrs,-1.254055086,0.6201557316,-2.46956032,-0.03854985157,0.04315966339,-2.423151119,0.6641968345,0.2853453478,15154,1137,35
Broad exact-year risk frame,age_20-29 yrs,-1.127440945,0.5945827821,-2.292823197,0.03794130821,0.05793514309,-2.176716267,0.8693649215,0.3238609751,15154,1137,35
Broad exact-year risk frame,age_30+ yrs,-1.309130137,0.6715211523,-2.625311595,0.007051321379,0.05123580486,-2.701542478,0.64455593,0.270054865,15154,1137,35
Broad exact-year risk frame,log_processing_capacity,2.615783587,0.4054039783,1.821191789,3.410375384,1.101732972e-10,1.970748192,3.487196964,13.67793002,15154,1137,35
Prior-operation risk frame,age_10-19 yrs,-1.3357906,0.6206376503,-2.552240394,-0.1193408053,0.03137472493,-2.444535741,0.3110372865,0.2629502049,13072,1019,33
Prior-operation risk frame,age_20-29 yrs,-1.389152107,0.6119461202,-2.588566503,-0.1897377115,0.02320417112,-2.505080308,0.243378827,0.2492865834,13072,1019,33
Prior-operation risk frame,age_30+ yrs,-1.309610697,0.6773934705,-2.6373019,0.01808050479,0.05319817934,-2.59413286,0.42300902,0.2699251185,13072,1019,33
Prior-operation risk frame,log_processing_capacity,2.644445303,0.4464876375,1.769329534,3.519561073,3.165560412e-09,1.908711495,3.714922729,14.07563521,13072,1019,33
Same-asset-episode continuity sensitivity,age_10-19 yrs,-1.693152733,0.6485879763,-2.964385167,-0.4219202999,0.009040433929,-3.118270614,-0.029841097,0.1839386992,15095,1135,24
Same-asset-episode continuity sensitivity,age_20-29 yrs,-1.665603042,0.6270665859,-2.89465355,-0.4365525333,0.007903092517,-2.643725713,0.172726267,0.1890766025,15095,1135,24
Same-asset-episode continuity sensitivity,age_30+ yrs,-2.600470371,0.7964599155,-4.161531806,-1.039408937,0.001094501286,-4.59430947,-0.676050771,0.07423865026,15095,1135,24
Same-asset-episode continuity sensitivity,log_processing_capacity,2.714608783,0.506221944,1.722413773,3.706803794,8.208370771e-08,2.041100497,3.668152595,15.09870205,15095,1135,24
Identity-certain-lineage sensitivity,age_10-19 yrs,-1.254071822,0.6199097858,-2.469095002,-0.03904864169,0.04307409133,-2.598959311,0.4523364355,0.2853405723,15107,1130,35
Identity-certain-lineage sensitivity,age_20-29 yrs,-1.127039018,0.5945644834,-2.292385405,0.03830736964,0.05801683386,-2.199695391,0.7765602545,0.3239911696,15107,1130,35
Identity-certain-lineage sensitivity,age_30+ yrs,-1.311004743,0.6712423731,-2.626639795,0.004630307896,0.05080752381,-2.667938569,0.5910259895,0.2695490926,15107,1130,35
Identity-certain-lineage sensitivity,log_processing_capacity,2.623531863,0.4055690128,1.828616598,3.418447128,9.88051383e-11,1.909686724,3.537274377,13.78432205,15107,1130,35
